difficulty	time_ms	duration_ms	lane	confidence	review_priority	beat_alignment	quantization_shift_ms	source	evidence	reason
expert	65477.3	0	1	0.342547	0.676062	0.014169	16	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	138160	0	2	0.378865	0.666095	0.00630873	16	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	3674.67	0	1	0.398768	0.661523	0.0296607	16	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	74757.3	0	1	0.34434	0.661056	0.105244	16	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	142573	0	2	0.358231	0.659536	0.0578719	13.3333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	85269.3	0	1	0.341675	0.659273	0.00101269	10.6667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	140944	0	2	0.41053	0.653131	0.00101269	16	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	24640	0	1	0.374882	0.651291	0.00261811	-10.6667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	141027	0	1	0.387386	0.645703	0.0578719	13.3333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	45600	0	1	0.34703	0.641959	0.105244	-10.6667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	154677	0	1	0.356361	0.641753	0.105244	-10.6667	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	151083	0	2	0.413172	0.64166	0.178389	21.3333	mid	DSP	low confidence, weak beat alignment, single-source evidence, large timing snap
expert	142181	0	1	0.43318	0.641581	0.00630873	16	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	82176	0	2	0.378925	0.640589	0.00261811	10.6667	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	122373	0	1	0.352376	0.640517	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	91450.7	0	2	0.355941	0.640166	0.00261811	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	19696	0	2	0.361418	0.639233	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	12581.3	0	0	0.362553	0.638699	0.00101269	-5.33333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	4528	0	2	0.375382	0.638191	1.12168e-05	5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	175568	0	2	0.360878	0.638162	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	163835	0	2	0.440928	0.638084	0.00101269	16	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	140448	0	1	0.42644	0.637455	0.178389	-21.3333	mid	DSP	low confidence, weak beat alignment, single-source evidence, large timing snap
expert	138469	0	2	0.36179	0.636637	0.000365098	5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	75354.7	0	1	0.349948	0.63592	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	10640	0	0	0.431925	0.635844	0.0578719	-16	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	139387	0	1	0.365975	0.635721	0.00101269	5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	131653	0	2	0.36525	0.634887	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	161979	0	2	0.446183	0.634766	0.00630873	16	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	110000	0	1	0.371154	0.634397	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	177424	0	1	0.368967	0.63433	0.00101269	-5.33333	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	11962.7	0	2	0.372044	0.634238	0.00101269	-5.33333	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	98256	0	1	0.363692	0.634192	0.000365098	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	18381.3	0	3	0.359906	0.633573	0.105244	-8	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	56186.7	0	1	0.369131	0.632822	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	59058.7	0	2	0.356715	0.632331	0.105244	8	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	10720	0	2	0.420158	0.630883	0.00101269	-10.6667	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	47525.3	0	2	0.363371	0.630813	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	87418.7	0	1	0.361176	0.630363	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	67930.7	0	2	0.36226	0.629827	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	159195	0	0	0.458566	0.629702	0.00101269	16	low	DSP	low confidence, weak beat alignment, single-source evidence
expert	47834.7	0	2	0.367912	0.628585	0.00101269	-5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	97018.7	0	1	0.375591	0.628367	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	141883	0	1	0.43373	0.626032	0.105244	16	mid	DSP	low confidence, weak beat alignment, single-source evidence
expert	128581	0	2	0.430449	0.625538	0.105244	16	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	134824	0	1	0.354703	0.625451	0.281829	-13.3333	high	DSP	low confidence, weak beat alignment, single-source evidence
expert	160112	0	2	0.386586	0.62539	0.00101269	5.33333	high	DSP	low confidence, weak beat alignment, single-source evidence
